id;nome;email;cpf_ou_cnpj;tipo
1;bypassing optical;Emmie69@gmail.com;HDD;PESSOAFISICA
2;firewall;Daniella.Heidenreich@hotmail.com;Quality;PESSOAFISICA
3;Forint;Bessie_Ebert87@hotmail.com;Enhanced deposit parsing;PESSOAFISICA
4;Tasty Customer Human;Clair34@yahoo.com;bus Internal AI;PESSOAJURIDICA
5;Dynamic Home Loan Account Tools;Trisha.Ondricka28@gmail.com;knowledge user;PESSOAJURIDICA
6;Fish;Dave17@gmail.com;world-class program alarm;PESSOAJURIDICA
7;Berkshire;Dimitri58@yahoo.com;Coordinator Cambridgeshire Investor;PESSOAFISICA
8;Libyan Dinar CSS;Misael57@gmail.com;calculate;PESSOAJURIDICA
9;Villages uniform PCI;Adrienne.Wilderman42@hotmail.com;Planner Strategist;PESSOAJURIDICA
10;infrastructure;Gail_Luettgen@gmail.com;UIC-Franc Arkansas Intelligent;PESSOAJURIDICA
